State,Year,Month,Indicator,Actual Deaths,Percent Pending Investigation,State Name
NY,2015,August,Number of Drug Overdose Deaths,0,0.33775609,New York
NY,2015,August,Methadone (T40.3),120,0.33775609,New York
NY,2015,August,Heroin (T40.1),630,0.33775609,New York
NY,2015,August,"Opioids (T40.0-T40.4,T40.6)",0,0.33775609,New York
NY,2015,August,"Synthetic opioids, excl. methadone (T40.4)",430,0.33775609,New York
NY,2015,August,Natural & semi-synthetic opioids (T40.2),465,0.33775609,New York
NY,2015,August,Psychostimulants with abuse potential (T43.6),36,0.33775609,New York
NY,2015,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",873,0.33775609,New York
NY,2015,December,Natural & semi-synthetic opioids (T40.2),479,0.405174865,New York
TX,2015,April,Number of Drug Overdose Deaths,0,0.178251239,Texas
NM,2015,April,"Opioids (T40.0-T40.4,T40.6)",388,0.040880687,New Mexico
NM,2015,April,Natural & semi-synthetic opioids (T40.2),202,0.040880687,New Mexico
NY,2015,April,Number of Drug Overdose Deaths,0,0.307379135,New York
NM,2015,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",236,0.040880687,New Mexico
NY,2015,April,Cocaine (T40.5),335,0.307379135,New York
NY,2015,April,Psychostimulants with abuse potential (T43.6),39,0.307379135,New York
NY,2015,November,Cocaine (T40.5),352,0.395268874,New York
NY,2015,November,Methadone (T40.3),118,0.395268874,New York
NY,2015,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",948,0.395268874,New York
NY,2015,November,"Opioids (T40.0-T40.4,T40.6)",0,0.395268874,New York
NY,2015,October,Heroin (T40.1),652,0.37075739,New York
NY,2015,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",562,0.395268874,New York
NY,2015,November,Number of Drug Overdose Deaths,0,0.395268874,New York
NY,2015,November,Natural & semi-synthetic opioids (T40.2),472,0.395268874,New York
NY,2015,November,Heroin (T40.1),663,0.395268874,New York
NY,2015,November,"Synthetic opioids, excl. methadone (T40.4)",515,0.395268874,New York
NY,2015,May,Heroin (T40.1),594,0.313323869,New York
NY,2015,May,Psychostimulants with abuse potential (T43.6),37,0.313323869,New York
NY,2015,May,Natural & semi-synthetic opioids (T40.2),432,0.313323869,New York
NY,2015,May,Methadone (T40.3),126,0.313323869,New York
NY,2015,November,Psychostimulants with abuse potential (T43.6),34,0.395268874,New York
NY,2015,April,"Synthetic opioids, excl. methadone (T40.4)",332,0.307379135,New York
NY,2015,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",772,0.307379135,New York
NY,2015,April,Methadone (T40.3),126,0.307379135,New York
NY,2015,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",533,0.307379135,New York
NY,2015,April,Natural & semi-synthetic opioids (T40.2),431,0.307379135,New York
NY,2015,April,"Opioids (T40.0-T40.4,T40.6)",0,0.307379135,New York
NY,2015,April,Heroin (T40.1),569,0.307379135,New York
MD,2015,June,"Synthetic opioids, excl. methadone (T40.4)",227,0.010570601,Maryland
NM,2015,April,Methadone (T40.3),43,0.040880687,New Mexico
NM,2015,April,"Synthetic opioids, excl. methadone (T40.4)",56,0.040880687,New Mexico
NY,2015,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",571,0.405174865,New York
NY,2015,June,"Opioids (T40.0-T40.4,T40.6)",0,0.309032879,New York
NY,2015,January,Methadone (T40.3),126,0.278684279,New York
NY,2015,January,Number of Drug Overdose Deaths,0,0.278684279,New York
NY,2015,January,Heroin (T40.1),544,0.278684279,New York
NY,2015,January,Psychostimulants with abuse potential (T43.6),41,0.278684279,New York
NY,2015,January,"Synthetic opioids, excl. methadone (T40.4)",248,0.278684279,New York
NY,2015,January,Cocaine (T40.5),277,0.278684279,New York
NY,2015,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",713,0.294605424,New York
NY,2015,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",522,0.294605424,New York
NY,2015,February,"Opioids (T40.0-T40.4,T40.6)",0,0.294605424,New York
NY,2015,February,Heroin (T40.1),544,0.294605424,New York
NY,2015,February,Natural & semi-synthetic opioids (T40.2),422,0.294605424,New York
NY,2015,February,Number of Drug Overdose Deaths,0,0.294605424,New York
NY,2015,February,"Synthetic opioids, excl. methadone (T40.4)",268,0.294605424,New York
NY,2015,February,Methadone (T40.3),121,0.294605424,New York
NY,2015,February,Psychostimulants with abuse potential (T43.6),41,0.294605424,New York
NY,2015,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",711,0.278684279,New York
NY,2015,January,"Opioids (T40.0-T40.4,T40.6)",0,0.278684279,New York
NY,2015,January,Natural & semi-synthetic opioids (T40.2),431,0.278684279,New York
NY,2015,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",534,0.278684279,New York
NJ,2015,October,Number of Drug Overdose Deaths,0,0.241380754,New Jersey
NM,2015,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",265,0.040880687,New Mexico
NY,2015,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",530,0.309032879,New York
NY,2015,March,Psychostimulants with abuse potential (T43.6),45,0.306482096,New York
NM,2015,April,Cocaine (T40.5),68,0.040880687,New Mexico
NM,2015,April,Number of Drug Overdose Deaths,536,0.040880687,New Mexico
NM,2015,August,Psychostimulants with abuse potential (T43.6),123,0.052671622,New Mexico
NM,2015,August,Natural & semi-synthetic opioids (T40.2),181,0.052671622,New Mexico
NM,2015,August,"Synthetic opioids, excl. methadone (T40.4)",60,0.052671622,New Mexico
NM,2015,August,"Opioids (T40.0-T40.4,T40.6)",378,0.052671622,New Mexico
NM,2015,August,Heroin (T40.1),164,0.052671622,New Mexico
NM,2015,August,Methadone (T40.3),35,0.052671622,New Mexico
NM,2015,August,Number of Drug Overdose Deaths,518,0.052671622,New Mexico
NM,2015,April,Psychostimulants with abuse potential (T43.6),124,0.040880687,New Mexico
NM,2015,April,Heroin (T40.1),155,0.040880687,New Mexico
TX,2015,August,Number of Drug Overdose Deaths,0,0.173749291,Texas
TX,2015,December,Number of Drug Overdose Deaths,0,0.177733431,Texas
NM,2015,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",240,0.052671622,New Mexico
NY,2015,December,Psychostimulants with abuse potential (T43.6),36,0.405174865,New York
NY,2015,February,Cocaine (T40.5),286,0.294605424,New York
NJ,2015,September,Number of Drug Overdose Deaths,0,0.209391926,New Jersey
NY,2015,March,"Synthetic opioids, excl. methadone (T40.4)",298,0.306482096,New York
NY,2015,March,Heroin (T40.1),553,0.306482096,New York
NY,2015,March,"Opioids (T40.0-T40.4,T40.6)",0,0.306482096,New York
NY,2015,March,Methadone (T40.3),115,0.306482096,New York
NJ,2015,November,Number of Drug Overdose Deaths,0,0.288015212,New Jersey
MD,2015,June,Methadone (T40.3),170,0.010570601,Maryland
MD,2015,June,Number of Drug Overdose Deaths,0,0.010570601,Maryland
MD,2015,June,Psychostimulants with abuse potential (T43.6),18,0.010570601,Maryland
ME,2015,September,Natural & semi-synthetic opioids (T40.2),105,0.006994964,Maine
ME,2015,September,"Synthetic opioids, excl. methadone (T40.4)",98,0.006994964,Maine
ME,2015,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",131,0.006994964,Maine
ME,2015,September,Methadone (T40.3),41,0.006994964,Maine
ME,2015,September,Number of Drug Overdose Deaths,258,0.006994964,Maine
MD,2015,February,Heroin (T40.1),336,0.008553405,Maryland
MD,2015,February,Natural & semi-synthetic opioids (T40.2),406,0.008553405,Maryland
MD,2015,February,Number of Drug Overdose Deaths,0,0.008553405,Maryland
VT,2015,July,"Synthetic opioids, excl. methadone (T40.4)",27,0.0,Vermont
VT,2015,July,"Opioids (T40.0-T40.4,T40.6)",74,0.0,Vermont
VT,2015,July,Number of Drug Overdose Deaths,95,0.0,Vermont
VT,2015,July,Heroin (T40.1),33,0.0,Vermont
VT,2015,July,Cocaine (T40.5),12,0.0,Vermont
VT,2015,July,Natural & semi-synthetic opioids (T40.2),24,0.0,Vermont
VT,2015,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",22,0.0,Vermont
VT,2015,January,Natural & semi-synthetic opioids (T40.2),18,0.0,Vermont
VT,2015,January,"Opioids (T40.0-T40.4,T40.6)",58,0.0,Vermont
VT,2015,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",37,0.0,Vermont
VT,2015,January,Number of Drug Overdose Deaths,76,0.0,Vermont
VT,2015,January,Heroin (T40.1),31,0.0,Vermont
VT,2015,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",49,0.0,Vermont
ME,2015,September,Heroin (T40.1),49,0.006994964,Maine
VT,2015,January,"Synthetic opioids, excl. methadone (T40.4)",20,0.0,Vermont
ME,2015,September,Cocaine (T40.5),26,0.006994964,Maine
MI,2015,April,Number of Drug Overdose Deaths,0,0.046517037,Michigan
ME,2015,March,Natural & semi-synthetic opioids (T40.2),96,0.028774908,Maine
ME,2015,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",119,0.028774908,Maine
ME,2015,March,Number of Drug Overdose Deaths,230,0.028774908,Maine
ME,2015,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",169,0.028774908,Maine
ME,2015,March,Cocaine (T40.5),23,0.028774908,Maine
ME,2015,May,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",118,0.014262283,Maine
ME,2015,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",200,0.006959911,Maine
ME,2015,May,Number of Drug Overdose Deaths,239,0.014262283,Maine
ME,2015,May,Cocaine (T40.5),24,0.014262283,Maine
ME,2015,May,"Synthetic opioids, excl. methadone (T40.4)",83,0.014262283,Maine
ME,2015,May,"Opioids (T40.0-T40.4,T40.6)",208,0.014262283,Maine
ME,2015,May,Methadone (T40.3),40,0.014262283,Maine
ME,2015,May,Natural & semi-synthetic opioids (T40.2),95,0.014262283,Maine
ME,2015,May,Psychostimulants with abuse potential (T43.6),20,0.014262283,Maine
ME,2015,May,Heroin (T40.1),45,0.014262283,Maine
ME,2015,May,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",178,0.014262283,Maine
ME,2015,March,"Opioids (T40.0-T40.4,T40.6)",196,0.028774908,Maine
ME,2015,September,Psychostimulants with abuse potential (T43.6),19,0.006994964,Maine
ME,2015,September,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",197,0.006994964,Maine
MI,2015,August,Number of Drug Overdose Deaths,0,0.051475995,Michigan
MI,2015,December,Number of Drug Overdose Deaths,0,0.033006814,Michigan
ME,2015,September,"Opioids (T40.0-T40.4,T40.6)",232,0.006994964,Maine
ME,2015,March,"Synthetic opioids, excl. methadone (T40.4)",70,0.028774908,Maine
VT,2015,June,Cocaine (T40.5),12,0.0,Vermont
VT,2015,March,Natural & semi-synthetic opioids (T40.2),22,0.0,Vermont
VT,2015,August,Cocaine (T40.5),13,0.0,Vermont
VT,2015,December,Number of Drug Overdose Deaths,99,0.0,Vermont
VT,2015,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",25,0.0,Vermont
VT,2015,February,"Opioids (T40.0-T40.4,T40.6)",58,0.0,Vermont
VT,2015,February,Heroin (T40.1),27,0.0,Vermont
VT,2015,February,Natural & semi-synthetic opioids (T40.2),20,0.0,Vermont
VT,2015,February,Number of Drug Overdose Deaths,77,0.0,Vermont
VT,2015,February,"Synthetic opioids, excl. methadone (T40.4)",20,0.0,Vermont
VT,2015,March,Number of Drug Overdose Deaths,82,0.0,Vermont
VT,2015,February,Cocaine (T40.5),10,0.0,Vermont
VT,2015,December,Natural & semi-synthetic opioids (T40.2),23,0.0,Vermont
VT,2015,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",56,0.0,Vermont
VT,2015,December,Cocaine (T40.5),12,0.0,Vermont
VT,2015,December,Heroin (T40.1),31,0.0,Vermont
VT,2015,December,"Opioids (T40.0-T40.4,T40.6)",77,0.0,Vermont
VT,2015,December,"Synthetic opioids, excl. methadone (T40.4)",33,0.0,Vermont
VT,2015,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",30,0.0,Vermont
VT,2015,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",40,0.0,Vermont
MA,2015,October,Number of Drug Overdose Deaths,0,1.274703724,Massachusetts
MA,2015,September,Number of Drug Overdose Deaths,0,1.33222456,Massachusetts
MA,2015,May,Number of Drug Overdose Deaths,0,1.37946398,Massachusetts
VT,2015,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",54,0.0,Vermont
VT,2015,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",27,0.0,Vermont
VT,2015,April,Natural & semi-synthetic opioids (T40.2),21,0.0,Vermont
VT,2015,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",43,0.0,Vermont
VT,2015,March,"Synthetic opioids, excl. methadone (T40.4)",19,0.0,Vermont
VT,2015,March,Heroin (T40.1),29,0.0,Vermont
VT,2015,March,"Opioids (T40.0-T40.4,T40.6)",62,0.0,Vermont
VT,2015,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",30,0.0,Vermont
VT,2015,June,Heroin (T40.1),31,0.0,Vermont
VT,2015,June,"Opioids (T40.0-T40.4,T40.6)",72,0.0,Vermont
VT,2015,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",48,0.0,Vermont
VT,2015,June,Natural & semi-synthetic opioids (T40.2),22,0.0,Vermont
VT,2015,June,Number of Drug Overdose Deaths,94,0.0,Vermont
VT,2015,June,"Synthetic opioids, excl. methadone (T40.4)",27,0.0,Vermont
VT,2015,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",32,0.0,Vermont
VT,2015,January,Cocaine (T40.5),11,0.0,Vermont
VT,2015,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",39,0.0,Vermont
VT,2015,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",31,0.0,Vermont
VT,2015,August,Number of Drug Overdose Deaths,100,0.0,Vermont
VT,2015,August,Heroin (T40.1),35,0.0,Vermont
VT,2015,August,"Opioids (T40.0-T40.4,T40.6)",80,0.0,Vermont
VT,2015,August,"Synthetic opioids, excl. methadone (T40.4)",33,0.0,Vermont
VT,2015,August,Natural & semi-synthetic opioids (T40.2),23,0.0,Vermont
VT,2015,April,Number of Drug Overdose Deaths,85,0.0,Vermont
VT,2015,April,"Synthetic opioids, excl. methadone (T40.4)",23,0.0,Vermont
VT,2015,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",28,0.0,Vermont
NY,2015,October,Number of Drug Overdose Deaths,0,0.37075739,New York
ME,2015,November,"Synthetic opioids, excl. methadone (T40.4)",113,0.0,Maine
ME,2015,November,Natural & semi-synthetic opioids (T40.2),105,0.0,Maine
MD,2015,July,Methadone (T40.3),176,0.01055164,Maryland
MD,2015,July,Natural & semi-synthetic opioids (T40.2),393,0.01055164,Maryland
MD,2015,July,Cocaine (T40.5),131,0.01055164,Maryland
MD,2015,July,Psychostimulants with abuse potential (T43.6),20,0.01055164,Maryland
MD,2015,January,Methadone (T40.3),150,0.008585165,Maryland
ME,2015,March,Psychostimulants with abuse potential (T43.6),17,0.028774908,Maine
MD,2015,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",515,0.008543722,Maryland
MD,2015,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",752,0.021015909,Maryland
MD,2015,November,Methadone (T40.3),184,0.021015909,Maryland
MD,2015,November,Cocaine (T40.5),143,0.021015909,Maryland
MD,2015,October,Number of Drug Overdose Deaths,0,0.018895654,Maryland
MD,2015,October,Cocaine (T40.5),150,0.018895654,Maryland
MD,2015,October,"Synthetic opioids, excl. methadone (T40.4)",299,0.018895654,Maryland
MD,2015,October,Heroin (T40.1),390,0.018895654,Maryland
MD,2015,October,"Opioids (T40.0-T40.4,T40.6)",0,0.018895654,Maryland
MD,2015,October,Psychostimulants with abuse potential (T43.6),20,0.018895654,Maryland
MD,2015,October,Natural & semi-synthetic opioids (T40.2),418,0.018895654,Maryland
MD,2015,October,Methadone (T40.3),183,0.018895654,Maryland
MD,2015,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",555,0.018895654,Maryland
MD,2015,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",725,0.018895654,Maryland
MD,2015,September,Psychostimulants with abuse potential (T43.6),20,0.014741497,Maryland
MD,2015,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",507,0.008585165,Maryland
MD,2015,September,Number of Drug Overdose Deaths,0,0.014741497,Maryland
MD,2015,January,Natural & semi-synthetic opioids (T40.2),400,0.008585165,Maryland
MD,2015,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",649,0.008585165,Maryland
MD,2015,June,Natural & semi-synthetic opioids (T40.2),394,0.010570601,Maryland
MD,2015,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",652,0.010570601,Maryland
MD,2015,June,"Opioids (T40.0-T40.4,T40.6)",965,0.010570601,Maryland
MD,2015,June,Heroin (T40.1),331,0.010570601,Maryland
MD,2015,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",518,0.010570601,Maryland
MD,2015,March,Psychostimulants with abuse potential (T43.6),18,0.008543722,Maryland
MD,2015,March,Methadone (T40.3),163,0.008543722,Maryland
MD,2015,March,"Opioids (T40.0-T40.4,T40.6)",969,0.008543722,Maryland
MD,2015,March,Heroin (T40.1),335,0.008543722,Maryland
MD,2015,July,"Synthetic opioids, excl. methadone (T40.4)",231,0.01055164,Maryland
MD,2015,July,"Opioids (T40.0-T40.4,T40.6)",976,0.01055164,Maryland
MD,2015,July,Number of Drug Overdose Deaths,0,0.01055164,Maryland
MD,2015,July,Heroin (T40.1),342,0.01055164,Maryland
MD,2015,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",519,0.008553405,Maryland
MD,2015,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",674,0.008553405,Maryland
MD,2015,January,Cocaine (T40.5),109,0.008585165,Maryland
MD,2015,January,"Synthetic opioids, excl. methadone (T40.4)",237,0.008585165,Maryland
MD,2015,January,Psychostimulants with abuse potential (T43.6),17,0.008585165,Maryland
MD,2015,January,Heroin (T40.1),327,0.008585165,Maryland
